Type,Amount,OriginAccNumber,OriginOldBalance,OriginNewBalance,DestAccNumber,TransactionDate,TransactionId,OrigCountry,OriginInternalUserId
PAYMENT,9839.64,C885910946,170136.0,160296.36,M1979787155,2021-01-12,TRF-oEmCSzmyVZgm,SG,C-57ec78fa-e81f-40b6-a8e2-f35eb529a3e1
PAYMENT,1864.28,C1393828949,21249.0,19384.72,M2044282225,2017-08-13,TRF-oLbuUDKUKTCA,ID,C-b7c333b4-fe18-4180-a223-9bd2c604d632
TRANSFER,181.0,C2091072548,181.0,0.0,C553264065,2019-03-03,TRF-YLTMxRVCWzUf,SG,C-2fa25b73-02bd-4daf-8d83-35413df1dd75
CASH_OUT,181.0,C1552870927,181.0,0.0,C38997010,2020-01-09,TRF-JWLpSnwZVwvT,SG,C-cbc3a4ff-738a-4ae0-a9c5-fec2670ec4be
PAYMENT,11668.14,C1245593227,41554.0,29885.86,M1230701703,2018-05-12,TRF-EFWeIHESjPZh,ID,C-b7c333b4-fe18-4180-a223-9bd2c604d632
PAYMENT,7817.71,C635611994,53860.0,46042.29,M573487274,2016-03-11,TRF-gSWJNiBVdASw,ID,C-7f136ff1-07e2-4ec0-807c-3c09aa241b2b
PAYMENT,7107.77,C632475595,183195.0,176087.23,M408069119,2016-05-20,TRF-hWrsUEsaXZaU,ID,C-6de1fe32-f61a-42ca-8ac3-84b7c3a24d91
PAYMENT,7861.64,C1368862151,176087.23,168225.59,M633326333,2015-12-21,TRF-hgIXgVqAQFIi,SG,C-dc131384-6d27-4589-845c-7fd05dc05d25
PAYMENT,4024.36,C1129869771,2671.0,0.0,M1176932104,2018-09-21,TRF-CgZDAOUpiOto,SG,C-a82c5bfe-1f8f-487c-a00f-d3ffb5d235c3
DEBIT,5337.77,C788905599,41720.0,36382.23,C195600860,2015-08-11,TRF-ExkCBAzkdgbY,ID,C-ccccee00-e5e2-41e6-81e3-c55461ab72c8
DEBIT,9644.94,C1780293706,4465.0,0.0,C997608398,2017-04-05,TRF-HTfbjTYcGTGo,SG,C-37fba096-c6bc-4c25-8457-01d9d4e45b13
PAYMENT,3099.97,C1049590050,20771.0,17671.03,M2096539129,2015-11-01,TRF-JNoxqzTOLBpH,ID,C-4b732116-53c3-4dc9-8dac-7d1c3a61b1a1
PAYMENT,2560.74,C1700721442,5070.0,2509.26,M972865270,2016-10-30,TRF-wNUxydsjDmvl,ID,C-116951a7-a256-4fb1-b995-a6e6e3e33fd4
PAYMENT,11633.76,C61137731,10127.0,0.0,M801569151,2022-04-23,TRF-eoZnsKlGDfrW,ID,C-b89379e8-00e3-4778-99d7-26ac6d400445
PAYMENT,4098.78,C1966670937,503264.0,499165.22,M1635378213,2019-03-28,TRF-LPdhfJsWqjzD,ID,C-d9283c9b-0eb5-42c5-9229-a0fdbe5bfe2b
CASH_OUT,229133.94,C71802912,15325.0,0.0,C476402209,2018-10-17,TRF-GCKdlBVxPZGS,ID,C-6468554a-71c1-4323-a446-ed460ad83047
PAYMENT,1563.82,C1780293706,450.0,0.0,M1731217984,2015-06-12,TRF-yzPUOGGifeux,SG,C-92cfbee4-8e6c-4aee-a47d-5dede150bae2
PAYMENT,1157.86,C1893563925,21156.0,19998.14,M1877062907,2020-10-29,TRF-EdImwEhxiAsO,MY,C-0b4bbf75-3aa6-4bc9-952a-73c060669d7a
PAYMENT,671.64,C923083575,15123.0,14451.36,M473053293,2021-01-29,TRF-ffRJzpFsdGER,SG,C-c5d4bb8a-3a45-4d1b-b95b-17ccba30b05a
TRANSFER,215310.3,C1648582256,705.0,0.0,C1100439041,2019-02-01,TRF-QJcoQslBglDa,ID,C-14ba07d3-260d-4c61-88c7-509a42fffc25
PAYMENT,1373.43,C1406848276,13854.0,12480.57,M1344519051,2020-01-26,TRF-HNfyAMBEzpmP,ID,C-37fba096-c6bc-4c25-8457-01d9d4e45b13
DEBIT,9302.79,C1528769018,11299.0,1996.21,C1973538135,2017-07-10,TRF-RoVSsnaTagdG,SG,C-cf6c8842-b7cc-4736-a900-2c3321360bec
DEBIT,1065.41,C1673916398,1817.0,751.59,C515132998,2020-08-01,TRF-hawJbYsOYlxB,ID,C-b726e85f-1b1f-415f-a379-0d3b199464c0
PAYMENT,3876.41,C464872674,67852.0,63975.59,M1404932042,2021-01-09,TRF-GiWjnTlqsetk,MY,C-c8b788a2-d7c0-4e09-81f1-d44ab56d7e4b
TRANSFER,311685.89,C1275009283,10835.0,0.0,C932583850,2018-03-07,TRF-aDjXPugtaiBC,SG,C-1a053b48-9a16-4947-9366-bb525ec50116
PAYMENT,6061.13,C922807452,443.0,0.0,M1558079303,2017-07-06,TRF-oqSeXRYHKVjU,MY,C-3c571156-1241-4949-8736-048ccd5b0834
PAYMENT,9478.39,C1692073709,116494.0,107015.61,M58488213,2019-09-13,TRF-CtNZPSzvOuVJ,MY,C-39ed8356-b26f-4125-8a94-362d3febab9a
PAYMENT,8009.09,C1174586025,10968.0,2958.91,M295304806,2020-05-29,TRF-LfMFgwdKNKMk,SG,C-58b15e1c-3429-4937-b290-036e242b6b77
PAYMENT,8901.99,C691863815,2958.91,0.0,M33419717,2015-09-06,TRF-YHAhNyjEQNKU,SG,C-75a41c2a-6ab6-415e-9f59-2809ff7b01fb
PAYMENT,9920.52,C1591161296,0.0,0.0,M1940055334,2016-05-16,TRF-NoJzrXjWbJIK,MY,C-8ae6eb5a-0821-4a9c-a0d6-5d072eca1e92
PAYMENT,3448.92,C1896074070,0.0,0.0,M335107734,2015-04-14,TRF-ePREscMIZhyx,SG,C-c749527f-b5a0-4273-8eba-83a70b950de7
PAYMENT,4206.84,C1563053805,0.0,0.0,M1757317128,2015-03-16,TRF-LfrCFISvjJkR,SG,C-90ebe15a-1fe8-4f57-8352-e2f304d68c0f
PAYMENT,5885.56,C49318987,0.0,0.0,M1804441305,2018-04-19,TRF-ZqLbZPQwbaNo,MY,C-a67fa76e-ccee-44e9-ba70-b141afe3088c
PAYMENT,5307.88,C407997647,0.0,0.0,M1971783162,2021-03-13,TRF-ZPtwZdiZfmEo,ID,C-7c4e14bb-996f-40d1-8a7e-ae2b52761290
PAYMENT,5031.22,C1164365897,0.0,0.0,M151442075,2020-04-19,TRF-wGVmLZVKcUDh,SG,C-fef84acd-9e37-49fe-8c75-81277c829416
PAYMENT,24213.67,C1305486145,0.0,0.0,M70695990,2016-11-23,TRF-AnFSxzmfmnbL,MY,C-78586d49-ff6d-4c3e-ae3f-49392b6e8d0e
PAYMENT,8603.42,C200404000,253.0,0.0,M1615617512,2018-03-24,TRF-mIdnCpfVjWrU,SG,C-dafefd2a-8b08-4348-a6a0-1f063dedd413
PAYMENT,2791.42,C1215951090,300481.0,297689.58,M107994825,2017-11-03,TRF-GwSaentalQPi,SG,C-ccccee00-e5e2-41e6-81e3-c55461ab72c8
PAYMENT,7413.54,C1758893871,297689.58,290276.03,M1426725223,2016-07-15,TRF-yvmfyZmAWdna,ID,C-bbd7998c-ce1a-408c-8a40-89663b1f7094
PAYMENT,3295.19,C355885103,233633.0,230337.81,M1384454980,2016-07-27,TRF-AlGVmySfvQsU,MY,C-0eacc4fd-d0b6-44ff-83d3-8bae8b2eb4ce
PAYMENT,1684.81,C749981943,297.0,0.0,M1569435561,2019-11-03,TRF-WuUjiJfwDwrZ,SG,C-749a7309-ae8e-4c7e-a43a-5ac45981762e
DEBIT,5758.59,C751021317,32604.0,26845.41,C1297685781,2020-04-06,TRF-fWhXVAJJebxC,MY,C-8cbd2700-52fa-441e-b256-767868cb2e0f
CASH_OUT,110414.71,C1372422140,26845.41,0.0,C1509514333,2016-02-18,TRF-VtQsawMAPupn,MY,C-a6ed79e1-c778-43b2-9c43-c8aa12d2789d
PAYMENT,7823.46,C16373883,998.0,0.0,M267814113,2021-04-09,TRF-gKZnvalBAulx,ID,C-f512dc6e-a26c-4bcd-bf6e-6e4b623634d5
PAYMENT,5086.48,C1060519157,0.0,0.0,M1593224710,2017-08-17,TRF-TswBWvqasdlB,MY,C-f10c9eb7-34d6-400f-80d8-f89ff2640b16
PAYMENT,5281.48,C307411297,152019.0,146737.52,M1849015357,2017-08-12,TRF-dnaXiqRdmnok,SG,C-112d22d5-cf15-4e2c-98fc-7ff0e166f63d
PAYMENT,13875.98,C88301993,15818.0,1942.02,M2008106788,2021-12-13,TRF-ZawNnFrFCqXg,MY,C-3e9a7c10-07e3-4e8f-ba3c-187c37efc94a
CASH_OUT,56953.9,C264978436,1942.02,0.0,C824009085,2018-12-04,TRF-WnSXzfyWdQnj,ID,C-b0c53a9c-37c3-4834-a2d4-76de3cf6b7dd
CASH_OUT,5346.89,C482307698,0.0,0.0,C248609774,2020-10-27,TRF-jFODgvQWafhz,MY,C-fbe87dba-7a35-407f-92e4-962338875c9c
