InternalUserId,Email,FullName,PhoneNumber,NRIC,job,age,marital,education
C-a1e68544-1b9b-4f2e-ab97-6e6d2da16ff7,kgilbert@example.com,Tara Oliver,91110851,S5608904Y,management,58,married,tertiary
C-96d67600-3798-4cbf-a774-87388f4b63ae,amanda02@example.net,Vickie Cain,80060450,S1295935F,technician,44,single,secondary
C-ec85437f-d70c-4fc3-8990-9c685fe5827a,melissavazquez@example.com,Michael Cross,81920542,M0101544E,entrepreneur,33,married,secondary
C-316e5795-f314-46b6-82d2-195dc1b0e466,debrabates@example.com,Christopher Hudson,87278711,T9918491Z,blue-collar,47,married,unknown
C-e6ef447b-cf28-4e23-a325-18e5352a4eb1,bflores@example.org,John Murillo,85120856,T6842793B,unknown,33,single,unknown
C-2991bdbc-0df6-46b1-a637-d7d860bbd9a1,elizabethcollier@example.com,James Wise,90598631,S3133140O,management,35,married,tertiary
C-8615e1cc-2812-4977-ae2a-a4c31a28ae83,richard64@example.net,John Hines,83648874,T6482009P,management,28,single,tertiary
C-53b275e7-82f4-4a63-9f61-5e91a87b5d81,vcampbell@example.net,Taylor Howard,80807631,T3550157N,entrepreneur,42,divorced,tertiary
C-26add804-1303-4ae7-934f-153148c3f9e3,roger45@example.com,Andrea Zuniga,96480045,M3012255E,retired,58,married,primary
C-183734a6-4953-482c-afe7-13486af6ebe6,christian32@example.net,Victoria Abbott,88559913,G1229083T,technician,43,single,secondary
C-8e3e61cd-347a-4e65-baf4-ab9eb5f6f213,christine53@example.com,Billy Gray,88994555,F2166355D,admin.,41,divorced,secondary
C-7b650b68-0885-442b-872e-dc06ad08d58e,walter54@example.org,Anthony Patel,92524121,S7247577J,admin.,29,single,secondary
C-7a893848-404f-43ac-8ed9-bcdb68c51449,shawn22@example.org,Alexis Chaney,95313269,F8205842Y,technician,53,married,secondary
C-ad5bb72d-df03-44b2-a2fd-fab9eacda9f8,tonythomas@example.org,John Patterson,84336052,M9150492K,technician,58,married,unknown
C-e28f4058-ad80-4c91-8fc7-949617ec87b1,brandon37@example.net,Brandy Tucker,83659613,M3025702F,services,57,married,secondary
C-998ae8c9-a2cf-4075-bfca-e03764cc5c07,shopkins@example.net,Frank Avery,80955746,F8473015Q,retired,51,married,primary
C-7938af95-e0f4-404c-b70c-959048f70f13,ismith@example.com,Amy Smith,80713735,S9026463E,admin.,45,single,unknown
C-de901bdb-eb23-4e75-9b97-3b7ce0c463d6,kevinfischer@example.com,Sheri Cook,98475765,M3690038G,blue-collar,57,married,primary
C-07dd4679-db4a-42f5-ae0f-9b0bf59a6baa,estradakaren@example.com,Max Schneider,90718249,M0737948E,retired,60,married,primary
C-7a245a69-5497-4566-a570-d2c34b66ad7d,chloe70@example.org,Chris Wilson,98830147,S1502698Y,services,33,married,secondary
C-e7db50a8-f6c7-4075-b795-a3a76356d204,rgarcia@example.net,Joshua Perez,90120283,F2736046R,blue-collar,28,married,secondary
C-adb2d73a-4ad7-40db-ba3e-82e85bffa4bc,ereed@example.com,Christine Adams,90324914,G2284985G,management,56,married,tertiary
